factor,orig_mean,orig_sharpe,orig_tstat,orig_ar1,SB_mean_ci_lower,SB_mean_ci_upper,SB_mean_ci_width,SB_sharpe_ci_lower,SB_sharpe_ci_upper,SB_sharpe_ci_width,SB_tstat_ci_lower,SB_tstat_ci_upper,SB_tstat_ci_width,CBB_mean_ci_lower,CBB_mean_ci_upper,CBB_mean_ci_width,CBB_sharpe_ci_lower,CBB_sharpe_ci_upper,CBB_sharpe_ci_width,CBB_tstat_ci_lower,CBB_tstat_ci_upper,CBB_tstat_ci_width,MBB_mean_ci_lower,MBB_mean_ci_upper,MBB_mean_ci_width,MBB_sharpe_ci_lower,MBB_sharpe_ci_upper,MBB_sharpe_ci_width,MBB_tstat_ci_lower,MBB_tstat_ci_upper,MBB_tstat_ci_width
net_profit_margin_ttm,0.001665983608176848,0.024021874693687804,0.369812060269023,-0.02292850083426314,-0.004869431167595503,0.009475729167666902,0.014345160335262404,-0.06950732915563701,0.14569786668055004,0.21520519583618705,-1.0700517310415258,2.2429901471467524,3.313041878188278,-0.004571613748369781,0.008375412903800686,0.012947026652170467,-0.06282774016727902,0.127392327301703,0.190220067468982,-0.9672207656388113,1.9611799504677228,2.928400716106534,-0.006103942067625114,0.007488897544730064,0.013592839612355178,-0.08328701720847115,0.11208974945955458,0.19537676666802573,-1.282187332182684,1.7255997590216725,3.0077870912043565
asset_turnover_ttm,0.001991100966693832,0.04108659892882073,0.6325201506153398,-0.03935833243141654,-0.0032039778091720802,0.006864000451089399,0.010067978260261479,-0.07061891993285886,0.1439702625614336,0.21458918249429249,-1.0871644535389282,2.2163940197933956,3.3035584733323238,-0.0030266487322646945,0.007354898884973021,0.010381547617237715,-0.06239491109096451,0.14702632640742644,0.20942123749839095,-0.9605574467056615,2.2634415246868107,3.223998971392472,-0.003373626473835463,0.006657528789308694,0.010031155263144157,-0.0707945168308835,0.1423941301131196,0.2131886469440031,-1.0898677334229252,2.1921297691718142,3.2819975025947397
net_profit_to_asset_yoy_chg,0.004382610570211754,0.10946035382328315,1.6851207277257751,0.05584001579484888,3.2481738142123945e-05,0.008564251841820206,0.008531770103678081,0.0007320312284214624,0.22932486444704783,0.22859283321862636,0.01126947751646294,3.5304114134922964,3.5191419359758336,-0.00040446172353641676,0.008660263970803201,0.009064725694339618,-0.010662626383558665,0.23393234883892697,0.24459497522248563,-0.1641490466944619,3.6013427341050845,3.7654917807995463,0.0005544413148001741,0.008906332654083294,0.00835189133928312,0.013786213452859911,0.2354638269014968,0.2216776134486369,0.21223605839765375,3.624919539196179,3.4126834807985253
non_operating_profit_to_total_profit_ttm,0.0006756979541737588,0.017544576533099987,0.2700953225752258,-0.14975814129391443,-0.0030579514154041518,0.004659345560051751,0.007717296975455903,-0.08831493307176606,0.11400483794526144,0.2023197710170275,-1.35959111302719,1.755082171511437,3.114673284538627,-0.0033684520746651097,0.00508545498238968,0.00845390705705479,-0.09080064193342008,0.12083277369825196,0.21163341563167204,-1.3978581145447189,1.8601969063269284,3.2580550208716472,-0.003998099256794506,0.0031601581764187023,0.007158257433213209,-0.11375894945391354,0.0797221320339102,0.19348108148782373,-1.7512967663030041,1.2273066225029643,2.9786033888059684
net_profit_yoy_pct_chg_acc,0.005451503931203656,0.16208763758336742,2.4953074630180594,-0.045500927824156205,0.002026734968025409,0.009034210964558129,0.00700747599653272,0.06560352301719828,0.26633706798424645,0.20073354496704815,1.0099533994435246,4.100207044338065,3.09025364489454,0.0016756384525379454,0.00920556489815303,0.007529926445615085,0.05452603605029828,0.25999177806205137,0.2054657420117531,0.83941765524913,4.002522547642734,3.1631048923936036,0.0016418295608596018,0.009151634655528556,0.007509805094668954,0.05293457658707782,0.2554906795479094,0.20255610296083157,0.8149174482322796,3.933229016799943,3.1183115685676634
net_profit_to_asset_yoy_chg_acc,0.004556667784865055,0.13774681545414805,2.1205852693911913,0.05702612711006312,0.0005085077947857061,0.00886962468174699,0.008361116886961284,0.015803436296224653,0.26290179165274885,0.2470983553565242,0.2432908093377407,4.047321637435232,3.804030828097491,0.0004451148383469574,0.008699862924170057,0.0082547480858231,0.01427232589052523,0.2579738740731169,0.24370154818259165,0.21971966425222292,3.9714573105998867,3.7517376463476637,0.00039956784076410263,0.008233358330767762,0.00783379049000366,0.01286859518816367,0.24848949782921334,0.23562090264104968,0.19810950477371983,3.8254471942434733,3.6273376894697535
idios_vol_ff3_21,0.010270960964492891,0.14760401578626195,2.2723349396307673,0.03482616342481246,0.0020553583564421095,0.018491063545517408,0.0164357051890753,0.029378206566217813,0.27045150756703124,0.24107330100081342,0.4522717413107137,4.163548036594673,3.711276295283959,0.0009339212870517029,0.019158031564248522,0.01822411027719682,0.01317011257898186,0.2814109867808187,0.26824087420183684,0.2027513060039425,4.332267074521852,4.129515768517909,0.00031118105224566927,0.01780763166888031,0.01749645061663464,0.004473427411360469,0.2579316003940684,0.25345817298270795,0.06886753963019561,3.9708065155831203,3.9019389759529246
total_skewness_252,0.006729827900194349,0.11768874508022804,1.8117952009811868,0.07184081618145866,0.0017963364382479223,0.011370227684887555,0.009573891246639633,0.03178424250426976,0.21061111883639133,0.17882687633212158,0.48931219375991863,3.2423169617530334,2.7530047679931147,0.0019254049268712492,0.011882034094155365,0.009956629167284117,0.032557633283954106,0.23220978920991767,0.19965215592596355,0.501218393474768,3.5748242656898133,3.073605872215045,0.001249737263461274,0.011357680638298498,0.010107943374837223,0.020344060648082973,0.2249317407710813,0.20458768012299833,0.3131928327176918,3.4627801341545226,3.1495873014368305
co_skewness_252,0.0009011811538564583,0.013180763665335035,0.20291527739412737,-0.06701578516918329,-0.004656626910148023,0.007329732545962446,0.011986359456110467,-0.07245114773789851,0.10906423022148463,0.18151537795938316,-1.1153712420641366,1.679022482390211,2.7943937244543475,-0.004385638251389117,0.006470154324590829,0.010855792575979946,-0.06636753960778026,0.09615385825894963,0.1625213978667299,-1.0217152853515,1.4802698323499928,2.5019851177014925,-0.004836081208540671,0.0070446185032704564,0.011880699711811127,-0.07225136140739667,0.10166013767719502,0.1739114990845917,-1.1122955706005815,1.5650379265159873,2.6773334971165688
idios_skewness_ff3_252,0.0004254824239734242,0.010080613977637463,0.15518907959445835,0.09176682137771822,-0.006832599120317293,0.0070076507287599454,0.013840249849077238,-0.1504926572590071,0.18716208864184125,0.3376547459008483,-2.316805009849522,2.881323730453073,5.198128740302595,-0.007083613586996853,0.006851609827439185,0.013935223414436038,-0.15661842931065167,0.18202021190421339,0.3386386412148651,-2.4111100718833507,2.802165544248265,5.213275616131616,-0.007888155530119989,0.006339152208617585,0.014227307738737573,-0.17718153695660235,0.16138442691025945,0.3385659638668618,-2.727675090269736,2.4844816723109937,5.2121567625807295
